condition,label,seed,class_id,learning_order,mse
cl_intrinsic,CL + intrinsic replay,46,9,9,0.012233464978635311
cl_intrinsic,CL + intrinsic replay,47,1,0,0.016139190644025803
cl_intrinsic,CL + intrinsic replay,47,7,1,0.012490463443100452
cl_intrinsic,CL + intrinsic replay,47,0,2,0.03359336405992508
cl_intrinsic,CL + intrinsic replay,47,2,3,0.03414437174797058
cl_intrinsic,CL + intrinsic replay,47,3,4,0.0268095675855875
cl_intrinsic,CL + intrinsic replay,47,4,5,0.01763419434428215
cl_intrinsic,CL + intrinsic replay,47,5,6,0.027187997475266457
cl_intrinsic,CL + intrinsic replay,47,6,7,0.028302442282438278
cl_intrinsic,CL + intrinsic replay,47,8,8,0.02500518225133419
cl_intrinsic,CL + intrinsic replay,47,9,9,0.01262647844851017
cl_intrinsic,CL + intrinsic replay,48,1,0,0.01796511746942997
cl_intrinsic,CL + intrinsic replay,48,7,1,0.01416925061494112
cl_intrinsic,CL + intrinsic replay,48,0,2,0.03423622250556946
cl_intrinsic,CL + intrinsic replay,48,2,3,0.0365944467484951
cl_intrinsic,CL + intrinsic replay,48,3,4,0.029879920184612274
cl_intrinsic,CL + intrinsic replay,48,4,5,0.018180277198553085
cl_intrinsic,CL + intrinsic replay,48,5,6,0.02918928675353527
cl_intrinsic,CL + intrinsic replay,48,6,7,0.028457913547754288
cl_intrinsic,CL + intrinsic replay,48,8,8,0.02562246471643448
cl_intrinsic,CL + intrinsic replay,48,9,9,0.01277974247932434
cl_intrinsic,CL + intrinsic replay,49,1,0,0.01927536353468895
cl_intrinsic,CL + intrinsic replay,49,7,1,0.013017010875046253
cl_intrinsic,CL + intrinsic replay,49,0,2,0.03385114669799805
cl_intrinsic,CL + intrinsic replay,49,2,3,0.03339885175228119
cl_intrinsic,CL + intrinsic replay,49,3,4,0.029000747948884964
cl_intrinsic,CL + intrinsic replay,49,4,5,0.018068378791213036
cl_intrinsic,CL + intrinsic replay,49,5,6,0.028077060356736183
cl_intrinsic,CL + intrinsic replay,49,6,7,0.027961907908320427
cl_intrinsic,CL + intrinsic replay,49,8,8,0.025227008387446404
cl_intrinsic,CL + intrinsic replay,49,9,9,0.012918773107230663
cl_intrinsic,CL + intrinsic replay,50,1,0,0.019262710586190224
cl_intrinsic,CL + intrinsic replay,50,7,1,0.013485082425177097
cl_intrinsic,CL + intrinsic replay,50,0,2,0.03459801524877548
cl_intrinsic,CL + intrinsic replay,50,2,3,0.03395380079746246
cl_intrinsic,CL + intrinsic replay,50,3,4,0.027588699012994766
cl_intrinsic,CL + intrinsic replay,50,4,5,0.017639875411987305
cl_intrinsic,CL + intrinsic replay,50,5,6,0.027847282588481903
cl_intrinsic,CL + intrinsic replay,50,6,7,0.027029789984226227
cl_intrinsic,CL + intrinsic replay,50,8,8,0.025296790525317192
cl_intrinsic,CL + intrinsic replay,50,9,9,0.012679853476583958
cl_intrinsic,CL + intrinsic replay,51,1,0,0.020884577184915543
cl_intrinsic,CL + intrinsic replay,51,7,1,0.014534792862832546
cl_intrinsic,CL + intrinsic replay,51,0,2,0.0340670607984066
cl_intrinsic,CL + intrinsic replay,51,2,3,0.0336814746260643
cl_intrinsic,CL + intrinsic replay,51,3,4,0.027286259457468987
cl_intrinsic,CL + intrinsic replay,51,4,5,0.01780911535024643
cl_intrinsic,CL + intrinsic replay,51,5,6,0.02761014923453331
cl_intrinsic,CL + intrinsic replay,51,6,7,0.028132343664765358
cl_intrinsic,CL + intrinsic replay,51,8,8,0.02529376931488514
cl_intrinsic,CL + intrinsic replay,51,9,9,0.012968696653842926
cl_no_replay,"CL, no replay",42,1,0,0.010562158189713955
